"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6,C7,C9,C12,C14,C18,C20,C23,C24,C25,C26,C27,C30,C32,C36","20","100nF","","","","","~"
"C8,C11,C33","3","4.7uF","","","","","~"
"C10,C13,C21","3","1uF","","","","","~"
"C15,C16","2","6pF","","","","","~"
"C17","1","2.2uF","","","","","~"
"C19","1","10nF","","","","","~"
"C22,C28,C29,C34,C35","5","10uF","","","","","~"
"C31","1","47uF","","","","","~"
"D1","1","LED","","","","","~"
"D2","1","LED_RED","","","","","~"
"D3","1","LED_GREEN","","","","","~"
"FB1","1","120R","","","","","~"
"IC1","1","SC4216HSETRT","","","","SOIC127P600X175-9N","https://componentsearchengine.com/Datasheets/1/SC4216HSETRT.pdf"
"J1","1","Conn_01x04_Pin","","","","","~"
"J2","1","USB_C_Receptacle_USB2.0_14P","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J3","1","Conn_Coaxial","","","","","~"
"J4","1","Conn_01x03","","","","","~"
"J5","1","Conn_01x02","","","","","~"
"J6","1","Micro_SD_Card_Det1","","","","","https://datasheet.lcsc.com/lcsc/2110151630_XKB-Connectivity-XKTF-015-N_C381082.pdf"
"J7,J8","2","Conn_01x02_Pin","","","","","~"
"L1","1","27nH >300mA","","","","","~"
"L2","1","7.8uH","","","","","~"
"R1,R2,R9,R10,R13","5","10k","","","","","~"
"R3","1","100R","","","","","~"
"R4","1","10R","","","","","~"
"R5,R6","2","5.1k","","","","","~"
"R7","1","0","DNP","","","","~"
"R8","1","52k","","","","","~"
"R11","1","220R","","","","","~"
"R12","1","56k","","","","","~"
"R14,R15,R16,R17,R18,R19","6","4.7k","","","","","~"
"SW1","1","SW_Push","","","","","~"
"SW2","1","SW_SPDT","","","","","~"
"TP1","1","TP_GNSS_SAFEBOOT","","","","","~"
"TP2","1","TP_GNSS_RESET","","","","","~"
"U1","1","ICM-426788P","","","","Package_LGA:Bosch_LGA-14_3x2.5mm_P0.5mm","https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi160-ds000.pdf"
"U2","1","STM32F407VGTx","","","","Package_QFP:LQFP-100_14x14mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f407vg.pdf"
"U3","1","MMC5883MA","","","","Package_LGA:LGA-16_3x3mm_P0.5mm","http://www.memsic.com/userfiles/files/DataSheets/Magnetic-Sensors-Datasheets/MMC5883MA-RevC.pdf"
"U4","1","DPS368","","","","Package_LGA:Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering","https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bme280-ds002.pdf"
"U5","1","NEO-M9N","","","","RF_GPS:ublox_NEO","https://www.u-blox.com/sites/default/files/NEO-M9N-00B_DataSheet_UBX-19014285.pdf"
"U6","1","Wio-SX1262","","","","ProLib_pcs_2024-10-14:Module:MODULE12P-1.27-11X11.6MM",""
"U7","1","USBLC6-2P6","","","","Package_TO_SOT_SMD:SOT-666","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U8","1","TPS62933P","","","","Package_TO_SOT_SMD:SOT-583-8","https://www.ti.com/lit/ds/symlink/tps62933.pdf"
"U9","1","Tudi AT24CM02-SSHD-T-TUDI","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8870-SEEPROM-AT24CS64-Datasheet.pdf"
"Y1","1","16MHz 7pF","","","","","~"
"Y2","1","OV_7604","","","","Oscillator:Oscillator_SMD_SeikoEpson_SG3030CM","https://support.epson.biz/td/api/doc_check.php?mode=dl&lang=en&Parts=SG-3030CM"
